country,tax,expenses
Afghanistan,2.5,600.0
Albania,13.0,900.0
Algeria,20.0,700.0
Andorra,10.0,2200.0
Angola,15.0,800.0
Antigua and Barbuda,15.0,1500.0
Argentina,15.0,800.0
Armenia,20.0,1000.0
Australia,25.0,3200.0
Austria,30.0,2800.0
Azerbaijan,14.0,900.0
Bahamas,0.0,2500.0
Bahrain,0.0,2200.0
Bangladesh,10.0,700.0
Barbados,15.0,2000.0
Belarus,13.0,800.0
Belgium,35.0,2600.0
Belize,15.0,1200.0
Benin,15.0,700.0
Bhutan,10.0,800.0
Bolivia,13.0,700.0
Bosnia and Herzegovina,10.0,900.0
Botswana,15.0,1000.0
Brazil,15.0,1200.0
Brunei,0.0,1800.0
Bulgaria,10.0,1100.0
Burkina Faso,15.0,800.0
Burundi,10.0,600.0
Cambodia,10.0,900.0
Cameroon,15.0,800.0
Canada,25.0,3000.0
Cape Verde,15.0,1000.0
Central African Republic,10.0,600.0
Chad,15.0,700.0
Chile,15.0,1400.0
China,15.0,1500.0
Colombia,10.0,1000.0
Comoros,10.0,700.0
Congo,15.0,800.0
Costa Rica,15.0,1600.0
Croatia,20.0,1400.0
Cuba,10.0,800.0
Cyprus,12.5,2000.0
Czech Republic,15.0,1800.0
Denmark,35.0,3500.0
Djibouti,10.0,900.0
Dominica,15.0,1200.0
Dominican Republic,15.0,1200.0
Ecuador,15.0,900.0
Egypt,15.0,800.0
El Salvador,10.0,1000.0
Equatorial Guinea,15.0,900.0
Eritrea,10.0,600.0
Estonia,20.0,1600.0
Ethiopia,10.0,700.0
Fiji,15.0,1200.0
Finland,30.0,2800.0
France,30.0,2800.0
Gabon,15.0,1000.0
Gambia,10.0,700.0
Georgia,20.0,1200.0
Germany,30.0,2800.0
Ghana,15.0,900.0
Greece,20.0,1600.0
Grenada,15.0,1300.0
Guatemala,15.0,1000.0
Guinea,15.0,700.0
Guinea-Bissau,10.0,600.0
Guyana,15.0,900.0
Haiti,10.0,700.0
Honduras,15.0,900.0
Hungary,15.0,1300.0
Iceland,30.0,3200.0
India,10.0,800.0
Indonesia,15.0,900.0
Iran,10.0,600.0
Iraq,0.0,800.0
Ireland,25.0,3000.0
Israel,20.0,3000.0
Italy,30.0,2400.0
Ivory Coast,15.0,800.0
Jamaica,15.0,1100.0
Japan,20.0,2800.0
Jordan,15.0,1000.0
Kazakhstan,10.0,1000.0
Kenya,15.0,900.0
Kiribati,10.0,1000.0
Kuwait,0.0,2000.0
Kyrgyzstan,10.0,800.0
Laos,10.0,800.0
Latvia,20.0,1500.0
Lebanon,15.0,1200.0
Lesotho,15.0,800.0
Liberia,10.0,700.0
Libya,10.0,800.0
Liechtenstein,20.0,3500.0
Lithuania,20.0,1600.0
Luxembourg,25.0,3500.0
Madagascar,10.0,600.0
Malawi,10.0,700.0
Malaysia,10.0,1200.0
Maldives,10.0,1500.0
Mali,15.0,700.0
Malta,15.0,2000.0
Marshall Islands,10.0,1200.0
Mauritania,15.0,800.0
Mauritius,15.0,1500.0
Mexico,15.0,1200.0
Micronesia,10.0,1000.0
Moldova,12.0,900.0
Monaco,0.0,4000.0
Mongolia,10.0,900.0
Montenegro,15.0,1200.0
Morocco,20.0,900.0
Mozambique,15.0,700.0
Myanmar,10.0,700.0
Namibia,15.0,1000.0
Nauru,10.0,1200.0
Nepal,10.0,600.0
Netherlands,30.0,3000.0
New Zealand,20.0,2800.0
Nicaragua,10.0,800.0
Niger,0.0,600.0
Nigeria,10.0,800.0
North Korea,10.0,500.0
North Macedonia,10.0,1000.0
Norway,30.0,3500.0
Oman,0.0,1800.0
Pakistan,10.0,600.0
Palau,10.0,1500.0
Panama,15.0,1800.0
Papua New Guinea,15.0,1000.0
Paraguay,10.0,800.0
Peru,15.0,1100.0
Philippines,15.0,900.0
Poland,18.0,1600.0
Portugal,25.0,1800.0
Qatar,0.0,2500.0
Romania,10.0,1300.0
Russia,13.0,1200.0
Rwanda,15.0,800.0
Saint Kitts and Nevis,15.0,1500.0
Saint Lucia,15.0,1400.0
Saint Vincent and the Grenadines,15.0,1300.0
Samoa,10.0,1000.0
San Marino,15.0,2000.0
Sao Tome and Principe,10.0,700.0
Saudi Arabia,0.0,2000.0
Senegal,15.0,900.0
Serbia,15.0,1100.0
Seychelles,15.0,1800.0
Sierra Leone,15.0,700.0
Singapore,10.0,3500.0
Slovakia,19.0,1500.0
Slovenia,20.0,1800.0
Solomon Islands,10.0,900.0
Somalia,10.0,600.0
South Africa,20.0,1400.0
South Korea,20.0,2500.0
South Sudan,10.0,700.0
Spain,25.0,2200.0
Sri Lanka,10.0,700.0
Sudan,10.0,600.0
Suriname,15.0,900.0
Sweden,30.0,3000.0
Switzerland,20.0,4000.0
Syria,10.0,500.0
Taiwan,15.0,1800.0
Tajikistan,13.0,700.0
Tanzania,15.0,800.0
Thailand,15.0,1400.0
Timor-Leste,10.0,800.0
Togo,15.0,700.0
Tonga,10.0,1000.0
Trinidad and Tobago,15.0,1400.0
Tunisia,15.0,800.0
Turkey,20.0,1000.0
Turkmenistan,10.0,800.0
Tuvalu,10.0,1000.0
Uganda,15.0,800.0
Ukraine,18.0,900.0
United Arab Emirates,0.0,2500.0
United Kingdom,25.0,2800.0
United States,20.0,3500.0
Uruguay,15.0,1500.0
Uzbekistan,12.0,800.0
Vanuatu,10.0,1100.0
Vatican City,0.0,2500.0
Venezuela,10.0,600.0
Vietnam,15.0,900.0
Yemen,0.0,500.0
Zambia,15.0,800.0
Zimbabwe,15.0,700.0
